"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"379","1142.1","4516.6","128.0","167","874","20","0"
"380","1145.1","4528.1","129.3","162","857","20","0"
"381","1148.1","4539.7","130.6","157","840","21","0"
"382","1150.6","4549.2","130.6","157","840","21","0"
"383","1153.6","4560.9","129.2","162","858","21","0"
"384","1156.6","4572.6","129.3","162","857","20","0"
"385","1159.6","4584.2","129.0","163","861","20","0"
"386","1162.6","4596.0","128.7","164","865","20","0"
"387","1165.6","4607.8","128.0","167","874","20","0"
"388","1168.6","4619.5","128.2","166","871","20","0"
"389","1171.6","4631.2","129.2","162","858","20","0"
"390","1174.6","4643.1","127.9","167","875","20","0"
"391","1177.6","4654.8","127.2","170","885","20","0"
"392","1180.6","4666.6","127.8","168","877","20","0"
"393","1183.6","4678.3","127.6","168","879","20","0"
"394","1186.6","4690.2","127.9","167","875","20","0"
"395","1189.6","4702.2","126.7","172","892","20","0"
"396","1192.6","4714.1","126.5","173","895","20","0"
"397","1195.6","4725.9","126.8","172","890","20","0"
"398","1198.6","4737.5","127.8","168","877","20","0"
"399","1201.6","4749.3","128.2","166","871","20","0"
"400","1204.6","4761.1","128.1","167","873","20","0"
"401","1207.6","4772.8","127.5","169","881","20","0"
"402","1210.6","4784.7","127.9","167","875","20","0"
"403","1213.6","4796.6","127.5","169","881","20","0"
"404","1216.6","4808.5","126.0","175","902","20","0"
"405","1219.6","4820.4","126.0","175","902","20","0"
"406","1222.6","4832.3","126.7","172","892","20","0"
"407","1225.6","4844.1","127.5","169","881","20","0"
"408","1228.6","4855.9","127.2","170","885","20","0"
"409","1231.6","4867.6","127.5","169","881","20","0"
"410","1234.6","4879.2","128.7","164","865","20","0"
"411","1237.6","4890.7","129.9","160","849","19","0"
"412","1241.1","4904.5","129.1","163","859","19","0"
"413","1244.1","4916.1","129.7","160","852","20","0"
"414","1247.1","4927.6","129.7","160","852","20","0"
"415","1250.1","4939.2","129.5","161","854","19","0"
"416","1253.6","4952.9","129.4","162","855","19","0"
"417","1256.6","4964.5","129.4","162","855","19","0"
"418","1259.6","4976.0","129.8","160","850","19","0"
"419","1263.1","4989.8","128.8","164","863","19","0"
"420","1266.1","5001.5","127.8","168","877","19","0"
"421","1269.1","5013.2","127.8","168","877","19","0"
"422","1272.1","5025.1","128.3","166","870","20","0"
"423","1275.1","5036.8","127.5","169","881","20","0"
"424","1278.1","5048.4","127.4","169","882","19","0"
"425","1281.1","5060.2","128.6","165","866","19","0"
"426","1284.6","5074.1","128.1","167","873","19","0"
"427","1287.6","5085.7","128.1","167","873","19","0"
"428","1290.6","5097.3","129.2","162","858","19","0"
"429","1293.6","5109.0","128.2","166","871","19","0"
"430","1297.1","5123.2","126.5","173","895","19","0"
"431","1300.1","5135.0","126.3","174","897","19","0"
"432","1303.1","5146.9","126.3","174","897","19","0"
"433","1306.1","5158.6","126.3","174","897","20","0"
"434","1309.1","5170.2","128.3","166","870","19","0"
"435","1312.6","5184.1","128.5","165","867","19","0"
"436","1315.6","5195.8","128.2","166","871","20","0"
"437","1318.6","5207.5","128.1","167","873","19","0"
"438","1321.6","5219.1","128.1","167","873","19","0"
"439","1324.6","5230.8","129.3","162","857","20","0"
"440","1327.6","5242.5","128.2","166","871","19","0"
"441","1330.5","5254.0","128.6","165","866","19","0"
"442","1333.6","5265.6","130.0","159","848","20","0"
"443","1337.1","5279.4","129.3","162","857","20","0"
"444","1339.6","5288.8","129.3","162","857","20","0"
"445","1342.6","5300.5","129.3","162","857","20","0"
"446","1345.6","5312.2","128.8","164","863","20","0"
"447","1348.6","5324.0","128.9","163","862","21","0"
"448","1351.6","5335.9","127.7","168","878","20","0"
"449","1354.6","5347.7","127.3","170","883","21","0"
"450","1357.6","5359.5","127.2","170","885","20","0"
"451","1360.6","5371.2","128.4","165","869","20","0"
"452","1363.6","5383.1","127.8","168","877","20","0"
"453","1366.6","5395.0","127.3","170","883","21","0"
"454","1369.1","5404.6","127.3","170","883","21","0"
"455","1372.1","5416.3","127.7","168","878","21","0"
"456","1375.1","5428.1","128.2","166","871","20","0"
"457","1378.0","5439.8","128.2","166","871","20","0"
"458","1381.1","5451.5","128.4","165","869","20","0"
"459","1384.0","5463.1","129.1","163","859","20","0"
"460","1387.1","5474.9","129.4","162","855","20","0"
"461","1390.1","5486.6","128.1","167","873","20","0"
"462","1393.5","5500.4","128.6","165","866","19","0"
"463","1396.6","5512.1","128.6","165","866","19","0"
"464","1399.5","5523.8","128.3","166","870","19","0"
"465","1402.5","5535.5","128.7","164","865","19","0"
"466","1405.6","5547.3","127.9","167","875","20","0"
"467","1408.6","5559.0","127.8","168","877","19","0"
"468","1411.6","5570.8","128.0","167","874","20","0"
"469","1414.5","5582.4","127.6","168","879","20","0"
"470","1418.1","5596.2","129.3","162","857","20","0"
"471","1421.1","5607.9","128.8","164","863","20","0"
"472","1424.0","5619.4","129.6","161","853","20","0"
"473","1426.6","5629.1","129.6","161","853","20","0"
"474","1430.1","5642.9","129.0","163","861","20","0"
"475","1433.0","5654.4","129.8","160","850","20","0"
"476","1436.0","5666.1","129.0","163","861","19","0"
"477","1439.0","5677.7","129.0","163","861","19","0"
"478","1442.0","5689.5","129.0","163","861","20","0"
